,Area,Latitude,Longitude
0,"Alipore, Kolkata, India",22.5312435,88.3313981
1,"Baguiati, Kolkata, India",22.6102177,88.427972
3,"Ballygunge, Kolkata, India",22.5191616,88.3721923
4,"Bara Bazar, Kolkata, India",22.5801792,88.3528098
7,"Behala, Kolkata, India",22.5008475,88.3179606
8,"Beleghata, Kolkata, India",22.5628606,88.396255
9,"Belgachia, Kolkata, India",22.6059241,88.3863913
10,"Belgharia, Kolkata, India",22.5677459,88.3476023
11,"Bhowanipore, Kolkata, India",22.52918465,88.3435248693497
12,"Bidhannagar, Kolkata, India",22.56854645,88.4144383050072
13,"Birati, Kolkata, India",22.6642156,88.42739
15,"Bowbazar, Kolkata, India",22.568269,88.3651641
18,"Chitpur, Kolkata, India",22.6161562,88.3711362
19,"Cossipore, Kolkata, India",22.6173485,88.3737337
21,"Dhakuria, Kolkata, India",22.5072549,88.3673304
23,"Dum Dum, Kolkata, India",22.6211141,88.3928973
26,"Eden Gardens, Kolkata, India",22.564588,88.3422903394515
27,"Fort William, Kolkata, India",22.55449655,88.3380131840883
28,"Garia, Kolkata, India",22.4661325,88.4051064
29,"Garia railway station, Kolkata, India",22.4661325,88.4051064
30,"Gariahat Road, Kolkata, India",22.5168311,88.3661994
32,"Jadavpur, Kolkata, India",22.4951079,88.3749813
35,"Joka, Kolkata, Kolkata, India",22.4523456,88.3018274717914
36,"Jorasanko, Kolkata, India",22.5834141,88.3562514
37,"Kalighat, Kolkata, India",22.5153313,88.3477052
38,"Kalighat metro station, Kolkata, India",22.5191032,88.3461179
40,"Kankurgachi, Kolkata, India",22.57897245,88.3915174163681
41,"Kasba, Kolkata, Kolkata, India",22.5143368,88.405636482551
43,"Kavi Nazrul metro station, Kolkata, India",22.4642875,88.3804155
46,"Mahanayak Uttam Kumar metro station, Kolkata, India",22.4966404,88.3453016
50,"New Alipore, Kolkata, India",22.5103774,88.3357871
51,"New Garia, Kolkata, India",22.4727076,88.3977962
52,"North Dumdum, Kolkata, India",22.6474604,88.381301
53,"Park Circus, Kolkata, India",22.543156,88.3657496
55,"Rabindra Sarobar metro station, Kolkata, India",22.5082096,88.3453835
57,"Santoshpur, Kolkata, India",22.4960484,88.3822296
59,"Sealdah railway station, Kolkata, India",22.5679661,88.3711047
60,"Shahid Khudiram metro station, Kolkata, India",22.4657862,88.3910424
61,"Shobhabazar, Kolkata, India",22.5958389,88.365154
62,"Shyambazar, Kolkata, India",22.601335,88.3724974
64,"South Dumdum, Kolkata, India",22.6170856,88.3853195
65,"Tala, Kolkata, Kolkata, India",22.6063508,88.3784257
66,"Tangra, Kolkata, India",22.5565107,88.3795946
68,"Tollygunge, Kolkata, India",22.5002426,88.3490494
